0,550,50,50,0,0,16,16
0,500,50,50,0,0,16,16
50,550,50,50,0,0,16,16
50,500,50,50,0,0,16,16
100,550,50,50,0,0,16,16
100,500,50,50,0,0,16,16
150,550,50,50,0,0,16,16
150,500,50,50,0,0,16,16
200,550,50,50,0,0,16,16
200,500,50,50,0,0,16,16
250,550,50,50,0,0,16,16
250,500,50,50,0,0,16,16
300,550,50,50,0,0,16,16
300,500,50,50,0,0,16,16
450,550,50,50,0,0,16,16
450,500,50,50,0,0,16,16
500,550,50,50,0,0,16,16
500,500,50,50,0,0,16,16
650,550,50,50,0,0,16,16
650,500,50,50,0,0,16,16
700,550,50,50,0,0,16,16
700,500,50,50,0,0,16,16
750,550,50,50,0,0,16,16
750,500,50,50,0,0,16,16
800,550,50,50,0,0,16,16
800,500,50,50,0,0,16,16
850,550,50,50,0,0,16,16
850,500,50,50,0,0,16,16
900,550,50,50,0,0,16,16
900,500,50,50,0,0,16,16
950,550,50,50,0,0,16,16
950,500,50,50,0,0,16,16
1000,550,50,50,0,0,16,16
1000,500,50,50,0,0,16,16
1050,550,50,50,0,0,16,16
1050,500,50,50,0,0,16,16
1100,550,50,50,0,0,16,16
1100,500,50,50,0,0,16,16
1150,550,50,50,0,0,16,16
1150,500,50,50,0,0,16,16

300,400,50,50,16,0,16,16
500,350,50,50,32,0,16,16

350,400,100,200,0,129,32,31
550,450,100,150,0,129,32,31

850,100,100,70,88,320,32,24
350,200,100,70,88,320,32,24

1150,275,10,350,263,240,2,25

1152,275,50,50,196,330,14,15
