-50,450,50,50,0,0,16,16,1
0,550,50,50,0,0,16,16,1
0,500,50,50,0,0,16,16,1
50,550,50,50,0,0,16,16,1
50,500,50,50,0,0,16,16,1
100,550,50,50,0,0,16,16,1
100,500,50,50,0,0,16,16,1
150,550,50,50,0,0,16,16,1
150,500,50,50,0,0,16,16,1
200,550,50,50,0,0,16,16,1
200,500,50,50,0,0,16,16,1
250,550,50,50,0,0,16,16,1
250,500,50,50,0,0,16,16,1
300,550,50,50,0,0,16,16,1
300,500,50,50,0,0,16,16,1
450,550,50,50,0,0,16,16,1
450,500,50,50,0,0,16,16,1
500,550,50,50,0,0,16,16,1
500,500,50,50,0,0,16,16,1
650,550,50,50,0,0,16,16,1
650,500,50,50,0,0,16,16,1
700,550,50,50,0,0,16,16,1
700,500,50,50,0,0,16,16,1
750,550,50,50,0,0,16,16,1
750,500,50,50,0,0,16,16,1
800,550,50,50,0,0,16,16,1
800,500,50,50,0,0,16,16,1
850,550,50,50,0,0,16,16,1
850,500,50,50,0,0,16,16,1
900,550,50,50,0,0,16,16,1
900,500,50,50,0,0,16,16,1
950,550,50,50,0,0,16,16,1
950,500,50,50,0,0,16,16,1
1000,550,50,50,0,0,16,16,1
1000,500,50,50,0,0,16,16,1
1050,550,50,50,0,0,16,16,1
1050,500,50,50,0,0,16,16,1
1100,550,50,50,0,0,16,16,1
1100,500,50,50,0,0,16,16,1
1150,550,50,50,0,0,16,16,1
1150,500,50,50,0,0,16,16,1

300,400,50,50,16,0,16,16,1
500,350,50,50,32,0,16,16,1

350,400,100,200,0,129,32,31,1
550,450,100,150,0,129,32,31,1

850,100,100,70,88,320,32,24,0
150,200,100,70,88,320,32,24,0

1150,275,10,350,263,240,2,25,1,flag

1152,275,50,50,196,330,14,15,1,flag

150,470,100,30,184,144,32,16,0
700,470,100,30,184,144,32,16,0
740,470,100,30,184,144,32,16,0
